name,rereference,used,target,type,status,new_name
CREF,None,0,0,misc,good,CREF
STNR01MT,None,0,0,dbs,bad,LFP_R_01_STN_MT
STNR02MT,None,0,0,dbs,good,LFP_R_02_STN_MT
STNR03MT,None,0,0,dbs,good,LFP_R_03_STN_MT
STNR04MT,None,0,0,dbs,good,LFP_R_04_STN_MT
STNR05MT,None,0,0,dbs,good,LFP_R_05_STN_MT
STNR06MT,None,0,0,dbs,good,LFP_R_06_STN_MT
STNR07MT,None,0,0,dbs,good,LFP_R_07_STN_MT
STNR08MT,None,0,0,dbs,good,LFP_R_08_STN_MT
STNL01MT,STNL234MT,1,0,dbs,good,LFP_L_01-(02+03+04)_STN_MT
STNL234MT,STNL567MT,1,0,dbs,good,LFP_L_(02+03+04)-(05+06+07)_STN_MT
STNL567MT,STNL08MT,1,0,dbs,good,LFP_L_(05+06+07)-08_STN_MT
STNL08MT,STNL01MT,1,0,dbs,good,LFP_L_01-08_STN_MT
ECXL01SMA,None,0,0,ecog,good,ECOG_L_01-02_SMC_AT
ECXL02SMA,None,0,0,ecog,good,ECOG_L_02-03_SMC_AT
ECXL03SMA,None,0,0,ecog,good,ECOG_L_03-04_SMC_AT
ECXL04SMA,None,0,0,ecog,good,ECOG_L_04-05_SMC_AT
ECXL05SMA,None,0,0,ecog,good,ECOG_L_05-06_SMC_AT
ECXL06SMA,None,0,0,ecog,good,ECOG_L_06_SMC_AT
EEGCzTM,None,0,0,dbs,good,EEG_Cz_TM
EEGFzTM,None,0,0,dbs,good,EEG_Fz_TM
EMGRBRTM,None,0,0,dbs,good,EMG_R_BR_TM
EMGLBRTM,None,0,0,dbs,good,EMG_L_BR_TM
ECG,None,0,0,dbs,good,ECG
X,None,0,0,dbs,good,ACC_R_X_D2_TM
Y,None,0,0,dbs,good,ACC_R_Y_D2_TM
Z,None,0,0,dbs,good,ACC_R_Z_D2_TM
X,None,0,0,dbs,good,ACC_L_X_D2_TM
Y,None,0,0,dbs,good,ACC_L_Y_D2_TM
Z,None,0,0,dbs,good,ACC_L_Z_D2_TM
ISO aux,None,0,1,dbs,good,ANALOG_X_ROTA_CH
STATUS,None,0,0,dbs,good,STATUS
COUNTER,None,0,0,dbs,good,COUNTER
